id,cost
1,23.19943
2,13.128059
3,7.449571
4,5.5179644
5,4.397595
6,3.9977803
7,3.8678348
8,3.7575488
9,21.603811
10,12.162336
11,6.3736854
12,4.49556
13,3.3514009
14,3.0398452
15,2.9031494
16,2.840216
17,29.385027
18,17.302536
19,9.578214
20,7.302001
21,5.717948
22,5.3828273
23,5.1706896
24,5.0717907
25,23.563217
26,13.453214
27,7.6440344
28,5.6658635
29,4.6203003
30,4.2039895
31,4.108468
32,3.9927301
33,22.335243
34,12.502718
35,6.7106705
36,4.807902
37,3.8113327
38,3.4279246
39,3.2853694
40,3.2162733
41,8.145205
42,57.334827
43,15.252378
44,31.189777
45,20.821835
46,13.603873
47,11.346468
48,9.983742
49,9.589109
50,9.436977
51,9.190015
52,47.643787
53,31.232622
54,22.226458
55,6.167118
56,4.4149694
57,10.832793
58,14.153788
59,6.993392
60,6.4742436
61,6.041594
62,4.2633424
63,22.554678
64,12.706273
65,6.577192
66,5.1988487
67,3.9047863
68,3.5747151
69,3.2465699
70,3.1261265
71,15.612987
72,8.553619
73,7.1518636
74,5.64026
75,13.812967
76,20.328604
77,11.321279
78,5.692965
79,3.9032996
80,2.7248266
81,2.4698927
82,2.3277662
83,2.2535832
84,14.643404
85,27.958921
86,17.324604
87,15.105061
88,16.692884
89,22.426083
90,12.637271
91,6.7545276
92,4.6894126
93,3.614179
94,3.213478
95,3.0872872
96,2.989726
97,7.0736594
98,21.948648
99,12.21434
100,6.5516686
101,3.9416587
102,2.7814498
103,2.520696
104,2.4129963
105,2.2713451
106,28.4611
107,16.411215
108,9.058934
109,6.5161395
110,4.995033
111,4.5916424
112,4.4720798
113,4.268171
114,5.157618
115,5.7928147
116,23.412687
117,14.755707
118,12.175206
119,10.573065
120,57.536285
121,40.189987
122,30.15553
123,21.77788
124,20.101318
125,10.067152
126,5.1922174
127,2.8625715
128,2.0007308
129,1.7626656
130,1.6644213
131,32.56907
132,25.758951
133,19.530012
134,15.673829
135,12.665125
136,3.5515301
137,13.493995
138,12.397903
139,8.404215
140,7.8417754
141,3.3113914
142,27.638086
143,15.539229
144,8.334511
145,6.0806375
146,4.5673923
147,4.211403
148,4.1093426
149,3.9785054
150,19.070454
151,27.396538
152,16.056065
153,9.391966
154,7.0560236
155,5.8126426
156,5.457078
157,5.233423
158,5.179247
159,47.04801
160,33.945114
161,28.571047
162,28.683275
163,27.126686
164,25.099363
165,16.826303
166,14.455635
167,22.179762
168,11.383735
169,6.343197
170,4.4541883
171,2.90864
172,2.646853
173,2.5132632
174,2.436748
175,15.160703
176,9.50835
177,6.47617
178,17.358162
179,6.7959814
180,5.9219704
181,56.55437
182,24.831423
183,13.597907
184,8.772297
185,34.844822
186,20.839739
187,15.307137
188,13.379882
189,11.229298
190,10.252995
191,9.70942
192,9.709528
193,1.8007936
194,1.9415337
195,22.120043
196,12.404911
197,6.4415655
198,4.5133038
199,3.2943058
200,3.0028954
201,2.8674502
202,2.8050926
203,21.313614
204,11.92784
205,6.1637483
206,4.271062
207,3.1283524
208,2.8534675
209,2.7041492
210,2.626368
211,21.343298
212,11.919309
213,6.1543264
214,4.2559
215,3.1242392
216,2.8470788
217,2.698008
218,2.6174693
219,21.007555
220,11.68489
221,5.9558244
222,4.134137
223,2.9147074
224,2.6518276
225,2.5022495
226,2.4259744
227,21.50609
228,12.026977
229,6.2186837
230,4.2982035
231,3.1496098
232,2.8733094
233,2.7232223
234,2.642135
235,21.50609
236,12.026977
237,6.2186837
238,4.2982035
239,3.1496098
240,2.8733094
241,2.7232223
242,2.642135
243,21.883434
244,12.991889
245,10.463253
246,9.356312
247,23.768118
248,13.410393
249,7.2731843
250,5.308808
251,4.166355
252,3.7945986
253,3.6510031
254,3.5444987
255,32.49817
256,22.722242
257,12.634172
258,6.7458024
259,4.576828
260,3.4349322
261,3.1041641
262,2.9962666
263,2.9008775
264,15.163758
265,29.656776
266,19.099361
267,12.377227
268,10.522876
269,9.829583
270,9.627291
271,9.4421425
272,9.293559
273,3.6256793
274,5.1627455
275,21.96295
276,12.236678
277,6.5636187
278,4.49355
279,3.359036
280,3.0370183
281,2.9149482
282,2.8480704
283,4.9775367
284,4.3989325
285,11.318646
286,8.005757
287,6.6033087
288,5.5756426
289,23.358587
290,13.194424
291,7.2489467
292,5.0076447
293,3.9848127
294,3.6433764
295,3.514692
296,3.4045012
297,22.914797
298,12.732329
299,6.7156487
300,4.542256
301,3.4084284
302,3.0702207
303,2.9483204
304,2.8540757
305,1.7547787
306,32.42553
307,22.187716
308,12.87566
309,6.8337693
310,5.103322
311,3.9438756
312,3.6243412
313,3.4858449
314,3.3912127
315,31.949633
316,17.127682
317,7.9047127
318,5.0201635
319,3.3603032
320,3.0202997
321,2.9084158
322,2.761151
323,2.943534
324,24.354069
325,15.073169
326,8.361409
327,5.999943
328,4.758524
329,4.486311
330,4.345848
331,4.258817
332,26.98853
333,15.928043
334,9.015878
335,6.79632
336,5.4082937
337,5.1366324
338,4.9431267
339,4.808877
340,26.98853
341,15.928043
342,9.015878
343,6.79632
344,5.4082937
345,5.1366324
346,4.9431267
347,4.808877
348,58.36583
349,23.035074
350,13.757849
351,9.714669
352,8.112388
353,6.70481
354,2.2067835
355,14.214479
356,7.171482
357,6.865872
358,8.437386
359,5.781022
360,4.7464333
361,12.969979
362,13.091747
363,52.78818
364,31.35637
365,25.123667
366,22.813208
367,20.93033
368,18.841782
369,40.151802
370,21.837206
371,12.228737
372,6.5405593
373,4.653074
374,3.7221096
375,3.3458068
376,3.1845114
377,3.0966432
378,84.28045
379,50.964577
380,41.85884
381,37.91156
382,24.875711
383,23.711712
384,13.475498
385,9.139708
386,7.2552776
387,6.0493326
388,5.552527
389,5.392695
390,5.3195047
391,27.1746
392,16.368887
393,9.535366
394,7.073827
395,5.665563
396,5.3609056
397,5.166193
398,5.0784535
399,23.826674
400,13.54284
401,9.225171
402,7.324862
403,6.1002913
404,5.6164927
405,5.4642477
406,5.390238
407,24.852982
408,18.142084
409,11.297498
410,5.0564713
411,2.6750805
412,29.238848
413,16.208433
414,8.472804
415,6.733727
416,4.954454
417,4.7561297
418,4.5307045
419,4.3726
420,33.47456
421,23.719578
422,17.697628
423,15.162691
424,13.466059
425,12.823241
426,12.315416
427,12.154603
428,33.47456
429,23.719578
430,17.697628
431,15.162691
432,13.466059
433,12.823241
434,12.315416
435,12.154603
436,27.378696
437,16.030848
438,9.478926
439,7.2476406
440,5.993693
441,5.657521
442,5.441739
443,5.407582
444,36.828194
445,18.264185
446,12.201559
447,9.434365
448,7.6269746
449,7.088676
450,6.8882036
451,6.8060083
452,21.010925
453,11.331503
454,5.525734
455,3.6973555
456,2.4906442
457,2.1316154
458,1.9791878
459,1.9143043
460,21.867918
461,12.186862
462,6.3349495
463,4.208318
464,3.0560982
465,2.7788892
466,2.663291
467,2.5386374
468,21.932426
469,20.696833
470,21.03886
471,18.686916
472,17.127865
473,28.90548
474,16.851732
475,9.551277
476,7.50241
477,6.027869
478,5.652284
479,5.4604297
